剧情,喜剧,动作,爱情,科幻,动画,悬疑,惊悚,恐怖,犯罪,传记,历史,战争,西部,奇幻,冒险,纪录片,武侠,sum,剧情,喜剧,动作,爱情,科幻,动画,悬疑,惊悚,恐怖,犯罪,传记,历史,战争,西部,奇幻,冒险,纪录片,武侠
152,155,101,31,52,132,25,33,18,47,13,11,7,5,33,37,56,9,917,0.165757906,0.169029444,0.110141767,0.033805889,0.056706652,0.143947655,0.027262814,0.035986914,0.019629226,0.051254089,0.014176663,0.011995638,0.007633588,0.005452563,0.035986914,0.040348964,0.061068702,0.009814613
815,569,453,255,167,94,157,261,82,244,50,50,60,4,119,126,23,24,3553,0.229383619,0.160146355,0.127497889,0.071770335,0.047002533,0.026456516,0.04418801,0.073459049,0.023079088,0.06867436,0.014072615,0.014072615,0.016887138,0.001125809,0.033492823,0.035462989,0.006473403,0.006754855
1009,279,287,231,54,85,113,210,37,206,62,44,69,9,48,55,51,26,2875,0.350956522,0.097043478,0.099826087,0.080347826,0.018782609,0.029565217,0.039304348,0.073043478,0.012869565,0.071652174,0.021565217,0.015304348,0.024,0.003130435,0.016695652,0.019130435,0.01773913,0.009043478
343,163,149,94,74,64,57,73,12,61,27,20,17,1,77,91,24,7,1354,0.253323486,0.120384047,0.110044313,0.069423929,0.05465288,0.047267356,0.042097489,0.053914328,0.008862629,0.045051699,0.019940916,0.014771049,0.012555391,0.000738552,0.056868538,0.067208272,0.017725258,0.005169867
69,27,33,18,11,2,14,17,1,18,5,13,7,1,9,6,0,3,254,0.271653543,0.106299213,0.12992126,0.070866142,0.043307087,0.007874016,0.05511811,0.066929134,0.003937008,0.070866142,0.019685039,0.051181102,0.027559055,0.003937008,0.035433071,0.023622047,0,0.011811024
446,325,106,241,28,96,57,29,2,74,27,29,17,0,83,66,42,25,1693,0.263437685,0.191966923,0.06261075,0.142350856,0.016538689,0.056704076,0.033668045,0.017129356,0.001181335,0.043709392,0.015948021,0.017129356,0.010041347,0,0.049025399,0.038984052,0.024808033,0.014766686
109,120,44,57,23,66,9,11,0,10,7,11,8,0,34,41,4,5,559,0.194991055,0.214669052,0.078711986,0.1019678,0.041144902,0.118067979,0.016100179,0.019677996,0,0.017889088,0.012522361,0.019677996,0.01431127,0,0.060822898,0.073345259,0.007155635,0.008944544
198,124,87,73,56,93,40,29,4,43,15,9,13,2,77,62,5,5,935,0.211764706,0.132620321,0.093048128,0.078074866,0.059893048,0.099465241,0.042780749,0.031016043,0.004278075,0.045989305,0.016042781,0.009625668,0.013903743,0.002139037,0.082352941,0.06631016,0.005347594,0.005347594
451,224,285,199,141,41,108,112,5,136,30,24,15,3,73,97,9,13,1966,0.229399797,0.113936928,0.144964395,0.101220753,0.071719227,0.020854527,0.054933876,0.056968464,0.002543235,0.069175992,0.01525941,0.012207528,0.007629705,0.001525941,0.037131231,0.049338759,0.004577823,0.006612411
299,92,89,96,38,152,63,25,12,36,27,31,14,1,87,51,26,23,1162,0.257314974,0.079173838,0.076592083,0.082616179,0.032702238,0.13080895,0.054216867,0.02151463,0.010327022,0.030981067,0.0232358,0.026678141,0.012048193,0.000860585,0.074870912,0.043889845,0.022375215,0.01979346
815,441,336,321,69,93,171,246,179,213,30,35,30,11,91,67,27,31,3206,0.254210855,0.137554585,0.104803493,0.100124766,0.021522146,0.02900811,0.053337492,0.076731129,0.055832813,0.066437929,0.009357455,0.010917031,0.009357455,0.003431067,0.028384279,0.020898316,0.008421709,0.00966937
49,15,22,9,16,2,21,10,3,15,0,3,2,1,6,9,2,4,189,0.259259259,0.079365079,0.116402116,0.047619048,0.084656085,0.010582011,0.111111111,0.052910053,0.015873016,0.079365079,0,0.015873016,0.010582011,0.005291005,0.031746032,0.047619048,0.010582011,0.021164021
109,60,54,53,8,6,3,7,0,26,5,6,10,3,17,11,0,14,392,0.278061224,0.153061224,0.137755102,0.135204082,0.020408163,0.015306122,0.007653061,0.017857143,0,0.066326531,0.012755102,0.015306122,0.025510204,0.007653061,0.043367347,0.028061224,0,0.035714286
520,469,188,170,96,77,119,107,24,122,22,18,13,2,73,74,197,12,2303,0.225792445,0.203647416,0.081632653,0.073816761,0.041684759,0.03343465,0.051671733,0.046461138,0.01042119,0.052974381,0.009552757,0.007815892,0.005644811,0.000868432,0.031697785,0.032132002,0.085540599,0.005210595
80,31,44,12,35,39,26,22,2,22,3,3,1,2,17,26,4,3,372,0.215053763,0.083333333,0.11827957,0.032258065,0.094086022,0.10483871,0.069892473,0.059139785,0.005376344,0.059139785,0.008064516,0.008064516,0.002688172,0.005376344,0.045698925,0.069892473,0.010752688,0.008064516
717,536,327,290,178,149,247,211,100,201,29,33,30,8,179,139,29,31,3434,0.208794409,0.156086197,0.095224228,0.084449621,0.051834595,0.043389633,0.071927781,0.06144438,0.029120559,0.058532324,0.008444962,0.009609785,0.008736168,0.002329645,0.052125801,0.040477577,0.008444962,0.009027373
102,43,18,77,4,4,5,6,0,11,3,6,9,0,9,10,2,2,311,0.327974277,0.138263666,0.057877814,0.247588424,0.012861736,0.012861736,0.01607717,0.019292605,0,0.035369775,0.009646302,0.019292605,0.028938907,0,0.028938907,0.032154341,0.006430868,0.006430868
699,540,412,310,156,241,144,171,47,177,49,34,24,6,152,155,15,58,3390,0.20619469,0.159292035,0.121533923,0.091445428,0.046017699,0.071091445,0.042477876,0.050442478,0.013864307,0.052212389,0.014454277,0.010029499,0.007079646,0.001769912,0.044837758,0.045722714,0.004424779,0.017109145
549,243,199,168,135,121,116,111,13,123,29,42,18,4,87,93,13,13,2077,0.264323544,0.116995667,0.095811266,0.080885893,0.064997593,0.058257102,0.055849783,0.053442465,0.006259027,0.059220029,0.013962446,0.020221473,0.008666346,0.001925855,0.041887338,0.044776119,0.006259027,0.006259027
