0,1,2
电锯惊魂,0.863547639,1
天空之眼,0.863284526,1
入殓师,0.860862852,1
龙虾,0.859280211,1
灾难艺术家,0.859059114,1
底特律,0.857952089,1
霍比特人3：五军之战,0.85756969,1
蓝色大门,0.857237314,1
被光抓走的人,0.853924228,1
罗小黑战记,0.851107229,1
我是山姆,0.847107532,1
为奴十二年,0.846730831,1
此房是我造,0.84650597,1
城市之光,0.846041873,1
时空恋旅人,0.842766262,1
驯龙高手3,0.839838946,1
玩具总动员4,0.839610096,1
小鬼当家,0.837704811,1
被解救的姜戈,0.837441993,1
百鸟朝凤,0.835954793,1
一个明星的诞生,0.823742438,1
勇往直前,0.821641769,1
长安道,0.821513918,1
局内人,0.819862235,1
千年女优,0.819853879,1
生化危机,0.81059297,1
弱点,0.805656387,1
驯龙高手2,0.804044276,1
宝莲灯,0.796445662,1
我，机器人,0.795276125,1
胭脂扣,0.793899225,1
一念无明,0.793525118,1
天才少女,0.785699369,1
沐浴之王,0.775498723,1
诺丁山,0.771959503,1
苏州河,0.76599743,1
解除好友2：暗网,0.764251973,1
玩具总动员,0.762400636,1
巴斯特·斯克鲁格斯的歌谣,0.760914569,1
流浪猫鲍勃,0.756708844,1
骡子,0.7556663,1
秘密特工,0.753456018,1
年轻气盛,0.748804082,1
怪兽电力公司,0.742021565,1
回到未来,0.741039299,1
边境杀手,0.739955841,1
疯狂原始人2,0.738550139,1
红辣椒,0.73804596,1
再次出发之纽约遇见你,0.737507283,1
绅士们,0.734354119,1
一点就到家,0.730615852,1
招魂2,0.729737021,1
爱你，西蒙,0.729716005,1
撞死了一只羊,0.727984981,1
分裂,0.722702619,1
黑鹰坠落,0.721347734,1
我爱你,0.719729307,1
烈火英雄,0.718752695,1
恐袭波士顿,0.716445411,1
推销员,0.711832173,1
日日是好日,0.709826581,1
无声,0.707980665,1
超人总动员,0.704810384,1
赎罪,0.704408305,1
怒,0.702683399,1
银河补习班,0.69930624,1
英伦对决,0.698418936,1
可可西里,0.697861583,1
冰川时代,0.696122151,1
波拉特2,0.694275412,1
妙先生,0.691848942,1
风之谷,0.69039342,1
猜火车2,0.687038858,1
杀破狼·贪狼,0.684631445,1
密室逃生,0.683073205,1
美食总动员,0.679397321,1
实习生,0.677391517,1
恶人传,0.675703979,1
我想结束这一切,0.672754353,1
侧耳倾听,0.67242936,1
老师·好,0.668171615,1
神探夏洛克：可恶的新娘,0.66574333,1
摩登时代,0.664414766,1
帕特森,0.661417846,1
找到你,0.655975949,1
魂断蓝桥,0.652313306,1
升级,0.639099954,1
小人物,0.638424175,1
猫和老鼠,0.636574582,1
夜以继日,0.636232521,1
食神,0.631830973,1
扎克·施奈德版正义联盟,0.63076609,1
我是传奇,0.63070437,1
疾速追杀3,0.630433953,1
吹哨人,0.62772691,1
杰出公民,0.623850674,1
阳光普照,0.619326229,1
黑衣人,0.618789453,1
电锯惊魂2,0.613556231,1
猎杀T34,0.610782198,1
燃情岁月,0.609982461,1
哭声,0.60232606,1
夜行动物,0.594719348,1
丹麦女孩,0.594048156,1
冷战,0.593913575,1
教授与疯子,0.591436461,1
杀破狼2,0.58844009,1
愤怒的小鸟,0.588309195,1
大坏狐狸的故事,0.587887558,1
红猪,0.587671923,1
极寒之城,0.585893434,1
幸福的拉扎罗,0.584015426,1
汉尼拔,0.583433551,1
春潮,0.579617566,1
飞鹰艾迪,0.578938797,1
坏孩子的天空,0.577905995,1
误杀瞒天记,0.577177011,1
名侦探柯南：贝克街的亡灵,0.575663123,1
初恋这首情歌,0.574275324,1
廉政风云,0.572772067,1
Hello！树先生,0.572563411,1
杀人者的记忆法,0.571940411,1
深夜食堂2,0.569399789,1
忠犬八公物语,0.569171416,1
十万个冷笑话2,0.566583467,1
雄狮,0.56385557,1
成为简·奥斯汀,0.563680078,1
夏目友人帐,0.561999524,1
每分钟120击,0.560684106,1
哪吒闹海,0.560422764,1
电锯惊魂8：竖锯,0.560070502,1
听说,0.556186826,1
瑞士军刀男,0.555472561,1
小小的愿望,0.554958914,1
天书奇谭,0.551823864,1
玩具总动员2,0.551437981,1
金福南杀人事件始末,0.547747009,1
弗兰兹,0.545390802,1
思悼,0.544501635,1
小森林,0.540624022,1
今夜在浪漫剧场,0.537742796,1
海底总动员,0.536262121,1
春江水暖,0.536071464,1
我的野蛮女友,0.535851105,1
闪光少女,0.533448749,1
我能说,0.530865328,1
爱宠大机密,0.530136084,1
明日的我与昨日的你约会,0.52974626,1
米花之味,0.526416048,1
孤味,0.525347986,1
小黄人大眼萌,0.524001482,1
东京教父,0.522098254,1
加勒比海盗3：世界的尽头,0.518502487,1
特警队,0.517927365,1
人生密密缝,0.517880738,1
我的个神啊,0.515914538,1
神探蒲松龄,0.514922981,1
厕所英雄,0.511364891,1
家族之苦2,0.507784166,1
冰川时代4,0.503500218,1
奇门遁甲,0.501318643,1
忠爱无言,0.498658691,1
地球上的星星,0.498658691,1
比得兔,0.498658691,1
星球大战7：原力觉醒,0.495638666,1
幸运是我,0.492514678,1
希望的另一面,0.487912349,1
崖上的波妞,0.486677853,1
前程似锦的女孩,0.484381637,1
阿德尔曼夫妇,0.483563651,1
斯隆女士,0.483563651,1
亲爱的新年好,0.4803752,1
我失去了身体,0.475883367,1
终结者,0.474538376,1
黑水,0.474211055,1
名侦探柯南：引爆摩天楼,0.473406666,1
守望者,0.469847671,1
玫瑰岛的不可思议的历史,0.469377421,1
英雄本色2,0.468054424,1
王牌贱谍：格林斯比,0.468054424,1
福尔摩斯小姐：失踪的侯爵,0.466449919,1
一江春水向东流,0.463607423,1
星际特工：千星之城,0.462757158,1
家有喜事,0.457697102,1
加勒比海盗2：聚魂棺,0.456058048,1
名侦探柯南：通向天国的倒计时,0.453570332,1
荒岛余生,0.452476081,1
消失的情人节,0.451878962,1
大赢家,0.450938263,1
铤而走险,0.450938263,1
太空救援,0.450891636,1
书店,0.449534543,1
魔女宅急便,0.447793512,1
曼克,0.443716363,1
马柔本宅秘事,0.442827811,1
喊·山,0.441504815,1
诛仙1,0.440824648,1
亚瑟王：斗兽争霸,0.439515001,1
心房客,0.438500431,1
对不起，我们错过了你,0.436553801,1
军舰岛,0.436553801,1
一吻定情,0.434329541,1
游戏之夜,0.432424205,1
海洋之歌,0.431669589,1
盗梦特攻队,0.431256536,1
2020去死,0.43073178,1
酒精计划,0.429378528,1
无主之作,0.427774023,1
大师,0.427663528,1
起跑线,0.427183269,1
加勒比海盗5：死无对证,0.427085646,1
女孩,0.421344958,1
